ID,Fi,Lambda,E,N,epoch_label,risk_pk
D10119519576,-33.48614175,148.99333202,685195.6,6293039.4,D20170805,0.22446343
D10119519577,-33.4861326,148.99329308,685192.0,6293040.5,D20170805,0.2872431
D10119519579,-33.48611437,148.99321553,685184.9,6293042.6,D20170805,0.23140033
D10119519581,-33.4860958,148.99313652,685177.6,6293044.8,D20170805,0.38726002
D10119519584,-33.48606787,148.9930177,685166.6,6293048.1,D20170805,0.37583065
D10119519587,-33.48604023,148.9929001,685155.7,6293051.4,D20170805,0.01135795
D10119519606,-33.48584744,148.99208071,685080.0,6293074.3,D20170805,0.2781694
D10119619007,-33.49177462,149.01673556,687358.2,6292372.7,D20170805,0.68686914
D10119619013,-33.49171748,149.01649229,687335.7,6292379.5,D20170805,0.23008247
D10119619481,-33.48706055,148.99668423,685505.2,6292931.5,D20170805,0.23767109
D10119619482,-33.48705272,148.99665085,685502.1,6292932.4,D20170805,0.012999476
D10119619487,-33.48701308,148.99648189,685486.5,6292937.1,D20170805,0.11340559
D10119619490,-33.48698901,148.99637934,685477.0,6292940.0,D20170805,0.4967003
D10119619491,-33.48698103,148.99634533,685473.8,6292940.9,D20170805,0.19324401
D10119619493,-33.48696512,148.99627753,685467.6,6292942.8,D20170805,0.8587555
D10119619498,-33.48692775,148.99611811,685452.8,6292947.2,D20170805,0.0009958047
D10119619499,-33.4869203,148.99608634,685449.9,6292948.1,D20170805,0.4228192
D10119619500,-33.48691285,148.99605459,685447.0,6292949.000000001,D20170805,0.0048619
D10119619503,-33.48689071,148.99596011,685438.2,6292951.6,D20170805,0.257958
D10119619505,-33.48687661,148.99589993,685432.7000000001,6292953.3,D20170805,0.010855481
D10119619506,-33.48686963,148.99587012,685429.9,6292954.1,D20170805,0.0029026708
D10119619512,-33.48682853,148.99569464,685413.7,6292959.0,D20170805,0.24620529
D10119619513,-33.48682105,148.99566273,685410.7,6292959.9,D20170805,0.059610736
D10119619514,-33.48681321,148.9956293,685407.7,6292960.8,D20170805,0.21319833
D10119619515,-33.48680535,148.99559579,685404.6,6292961.8,D20170805,0.11924054
D10119619516,-33.4867975,148.99556233,685401.5,6292962.699999999,D20170805,0.13611497
D10119619517,-33.48678966,148.99552895,685398.4,6292963.6,D20170805,0.10875617
D10119619520,-33.48676627,148.9954292,685389.2,6292966.4,D20170805,0.09125676
D10119619521,-33.48675761,148.99539233,685385.8,6292967.4,D20170805,0.17112012
D10119619523,-33.48673971,148.99531616,685378.7,6292969.5,D20170805,0.009408495
D10119619524,-33.48673075,148.99527802,685375.2,6292970.600000001,D20170805,0.0021184264
D10119619526,-33.48671281,148.99520169,685368.1,6292972.700000001,D20170805,0.45471245
D10119619528,-33.4866945,148.99512378,685360.9,6292974.9,D20170805,0.04018699
D10119619529,-33.4866851,148.99508376,685357.2,6292976.000000001,D20170805,0.038890097
D10119619532,-33.48665684,148.99496357,685346.1,6292979.299999999,D20170805,0.027264807
D10119619533,-33.48664742,148.99492349,685342.4,6292980.5,D20170805,0.029259514
D10119619534,-33.48663799,148.9948834,685338.7,6292981.6,D20170805,0.04514338
D10119619535,-33.48662905,148.99484535,685335.2,6292982.6,D20170805,0.10980241
